"ensembl_gene_id","logFC_AMY_F_FENT","logFC_AMY_FENT","logFC_AMY_M_FENT","Motif","name","P.Value_AMY_F_FENT","P.Value_AMY_FENT","P.Value_AMY_M_FENT","Regulatory function","selected","shared name"
"ENSMUSG00000066640","0.118361102","0.014524337","-0.089312429","yetfasco-655","Fbxl18","0.215194387","0.828637567","0.348329215","Regulated","false","Fbxl18"
"ENSMUSG00000024900","0.167118719","0.045176983","-0.076764754","yetfasco-655","Cpt1a","0.39004119","0.741790824","0.692253762","Regulated","false","Cpt1a"
"ENSMUSG00000019907","-0.116806108","-0.061442774","-0.00607944","yetfasco-655","Ppp1r12a","0.20879976","0.348357144","0.94749346","Regulated","false","Ppp1r12a"
"ENSMUSG00000041670","0.024836674","-0.094012603","-0.212861879","yetfasco-655","Rims1","0.817905532","0.220586755","0.052098178","Regulated","false","Rims1"
"ENSMUSG00000024290","0.419979585","0.465746527","0.511513469","yetfasco-655","Rock1","0.223911152","0.058696535","0.139715603","Regulated","false","Rock1"
"ENSMUSG00000027365","-0.086525524","-0.162942005","-0.239358487","yetfasco-655","Trpm7","0.405529863","0.029454795","0.023933681","Regulated","false","Trpm7"
"ENSMUSG00000055639","0.006893263","-0.049357758","-0.10560878","yetfasco-655","Dach1","0.9658555","0.664920627","0.512697347","Regulated","false","Dach1"
"ENSMUSG00000054519","-0.09904284","-0.343371876","-0.587700912","yetfasco-655","Zfp867","0.635974551","0.023060776","0.006455952","Regulated","false","Zfp867"
"ENSMUSG00000032423","-0.063325156","-0.109435676","-0.155546195","yetfasco-655","Syncrip","0.564622701","0.16209703","0.160024142","Regulated","false","Syncrip"
"ENSMUSG00000061306","0.103392598","0.108083776","0.112774953","yetfasco-655","Slc38a10","0.184530029","0.051787618","0.148364911","Regulated","false","Slc38a10"
"ENSMUSG00000032553","0.039819093","0.088402181","0.13698527","yetfasco-655","Srprb","0.712999183","0.250517311","0.208507924","Regulated","false","Srprb"
